id|kind|starting_point|existing_path|remaining_gap|further_upgrade|comparison|metric|fixtures|decision_use
F11|engineering|Save feature tables and trained models under descriptive filenames.|Content-addressed artifacts, fold/target versions and OOF lineage.|A small upstream definition change can trigger either unnecessary complete rebuilds or dangerous stale reuse.|Build a dependency-addressed artifact DAG with exact fit/inference closures and column-level transformation ownership. Recompute affected descendants only; keep reusable fold-independent measurements separate from fold-fitted transforms and include executable code/config hashes.|Clean rebuild versus incremental rebuild after controlled data, definition, target, fold and calibrator changes.|Stale-cache escape rate, identical final artifacts, recompute hours/storage saved and explainable invalidation paths.|Scaler changes; same model name with new transform; target horizon changes; late report revision; calibration fitted on a new cohort.|Make the full experiment program reproducible and affordable without sharing fitted state across prohibited folds.
F12|engineering|Use separate historical scripts and a later live connector.|Common event contracts, receipt telemetry and historical/live parity.|Equivalent formulas can still diverge because arrival scheduling, reconnect and batching differ.|Create a portable arrival-trace replay format containing source deliveries, timers, computation completions and order-state messages. Drive reference and optimized adapters from the same trace; use seeded fault schedules and minimal divergent-prefix extraction for diagnosis.|Native historical replay, captured-arrival replay and adapter projections under identical event/timer traces.|Decision/state parity, first divergence, lag distribution and recoverability; actual live evidence remains a later dependency.|Reconnect duplicates; batch boundary changes; delayed source; clock adjustment; interrupted computation; timer fires without a trade.|Upgrade parity testing from isolated formula checks to reproducible whole-runtime behavior.
V01|research_method|Label only taken trades or chart-selected successful reactions.|All-candidate labels, frozen targets, censoring and simulation provenance.|A correct label table may still overweight dense opportunities or obscure exactly which population an improvement concerns.|Build a population-indexed label service with clock samples, source episodes, object births, contacts and policy trajectories as separate sampling frames. Record inclusion probabilities where defined by the sampling design, otherwise explicit unknown/unsupported weighting; preserve shared endpoint/report IDs and target transformations; generate explicit risk sets for each forecast.|Taken-trade, all-contact and full decision-population diagnostics against the declared target population; never promote selected-only performance.|Coverage, label/reference agreement, effective episodes/dates and population-sensitive score/economic differences.|One day with thousands of nodes; repeated prefixes share one endpoint; missing horizon; no-touch versus censor; changed candidate density.|Every upgrade is judged on the opportunity population it would actually face, with proper source and phase ownership.
V02|research_method|Random train/test split or one chronological split.|Nested walk-forward folds, maturity-aware purge and OOF dependencies.|Handwritten fold logic may miss a learned transform or over-purge harmless historical lookbacks, reducing support.|Compile a temporal information graph for every fitted artifact and label span. Generate OOF schedules and machine-readable exclusion proofs from that graph; compare safe maximal-use folds with a conservative reference without changing evaluation dates.|Reference conservative folds versus compiled dependency/maturity folds; planted indirect leakage through scalers, encoders, gates and calibrators.|Leakage detection, eligible training support, OOF coverage, compute reuse and unchanged outer-test ownership.|Long OI endpoint; overlapping object life; innocent past lookback; joint encoder fit on future dates; outer result reused for feature selection.|Increase usable evidence and reduce manual leakage errors across the entire multi-stage system.
V03|research_method|Try many indicators and report the winner.|Trial registry, nested selection, useful-effect thresholds and search budgets.|A flat list of trials does not express the original idea's successive upgrades or the cost of abandoning weak branches.|Use an experiment-family tree: original construction, faithful/corrected version, representation upgrade, model upgrade and integration trial. Preregister staged screening and allowed interactions; track all attempts, code/data changes and negative outcomes under the same family budget.|Flat equal-budget sweeps versus staged family screening on planted/null and simulated known-effect problems, then actual research accounting.|False discovery/selection behavior under declared assumptions, useful discoveries per compute, unexamined scope and decision reproducibility.|Renamed failed trial; adjacent-window search; optional branch rejection; multiple correlated metrics; an untested family silently disappears.|Prioritize the whole program without equating complexity, trial count or a selected score with progress.
V04|research_method|Accept a high hit rate, attractive Sharpe or one profitable period.|Predictive, economic, account and frozen-future evidence gates with inconclusive/no-go outcomes.|A binary pass/fail hides whether failure comes from data, signal quality, decision use, costs, constraints or insufficient precision.|Produce an evidence frontier by component and complete policy: predictive increment, calibration/support, usable opportunity rate, net after execution, account survival, resource cost and uncertainty. Attribute the objective gap with paired reruns and preregister useful tradeoffs rather than maximizing one metric.|Simple/full policies and each upgrade stage on the same eligible dates and budget; fixed-endpoint or valid sequential future inference.|Best-supported Pareto alternatives, objective gap, uncertainty, risk overshoot and remaining evidence required; no perfection claim.|Predictive gain but worse fills; fewer losses but too little opportunity; flat-day exclusion; positive point estimate with wide interval; future period incomplete.|Make a concrete research/deployment decision and identify the next worthwhile upgrade when the current system is inadequate.
V05|research_method|Retrain whenever an indicator or P&L changes.|Matured-label drift, calibration monitoring and controlled adaptation.|Hundreds of correlated alarms can cause excessive refits or obscure a shared upstream failure.|Use hierarchical monitoring from source quality to feature state, target calibration and policy outcomes. Aggregate related alerts by lineage/episode, distinguish source faults from market shifts, and compare residual CUSUM/run-length detectors with simple scheduled review under a registered false-alarm/delay budget.|No adaptation, fixed reviews and registered adaptive policies on planted drift, stable nulls and chronological replay.|False-alert clusters, detection delay, unnecessary refits, recovery time and full adaptive-policy net/risk.|One source fault triggers many experts; rare regime; delayed labels; abrupt versus gradual drift; market shift during missing data.|Spend adaptation budget where new evidence warrants it; hard source/risk failures retain independent immediate handling.
V06|engineering|Compare a few historical and live indicator values.|Prefix/restart parity and historical/live calculation contracts.|A final-table difference can be difficult to localize across many asynchronous producers.|Add deterministic trace comparison with version-vector checkpoints, first-divergence bisection and dependency-local replay. Check numeric tolerance at outputs and decision sensitivity near thresholds; preserve separate bitwise-reference and permitted numeric-variation reports.|Whole-run compare versus localized trace diagnostics after deliberately planted timing, numeric and state faults.|Time to causal localization, reproducibility, false parity passes and action changes within numerical tolerance.|Floating sum changes rank near tie; expired forecast reused; checkpoint omits unfinished bar; timer/order race; same values with different lineage.|Make broad optimizations and deployments diagnosable without weakening semantic or action-level parity.
V07|research_method|Explain performance using feature importance or selected winning charts.|Layered failure attribution and controlled ablations with common cohorts.|Ablation loss conflates unique information, substitution by correlated inputs, model refitting and candidate-population changes.|Use a structured diagnostic matrix: frozen scorer/generator, refitted drop-one, small prespecified interaction tests, representation-versus-capacity comparison and candidate/population controls. Add plausible perturbations and precisely scoped oracle diagnostics, never performance evidence. Certify an upper bound only with an exact scoped optimum or a valid bounding argument; a heuristic oracle is labelled approximate.|Each diagnostic estimates its stated quantity; compare conclusions across paired dates and preserve incompatible/intervention limits.|Failure ownership, uncertainty of marginal/joint contribution, reproducible attribution and practical upgrade targets.|Two redundant features each look unnecessary; interaction-only signal; deleting a generator changes opportunities; attention map misread as causality.|Choose whether to improve measurement, add information, change the learner, change selection or remove a branch.
V08|engineering|Run the largest feature/model grid that fits the machine.|Bounded pilots, caching, trial budgets and measured resource envelopes.|Trials may spend too much on low-value duplicate work while valuable families remain unexamined.|Schedule a registered broad-coverage pilot for every eligible family, then allocate expansion by measured support, uncertainty, plausible useful effect and marginal compute cost. Use resumable DAG jobs, shared features and paired scenario seeds; retain explicit rejected/inconclusive/dependency records for every branch.|Uniform expansion versus staged resource allocation with identical total budget and immutable evaluation sets.|Completed scope coverage, useful evidence per CPU/GPU-hour, peak RAM/storage, wasted duplicate work and reproducible resumption.|One expensive model consumes all budget; failed worker; stale cache; rare family needs more days rather than compute; negative pilot closes a branch with evidence.|Complete the full authorized research scope efficiently; resource limits can produce explicit inconclusive outcomes, never silent omissions or fabricated success.
G01|forecast|Choose one Context signal or count agreeing indicators.|Target-specific distributions, regularized mixtures and feature-diverse experts.|Several nominally different experts may repeat the same evidence, while a useful small residual signal is overwhelmed by a flexible gate.|Add hierarchical stacking by measurement lineage, with within-family and between-family shrinkage, and a residual-correction challenger to a strong simple forecast. Train every gate/correction on chronological out-of-fold predictions; preserve valid distribution support and compare conditional versus global weights.|Best single, uniform/static blend, existing flat gate, hierarchical stack and regularized residual correction on identical targets and eligible cuts.|Proper loss, calibration, residual diversity, weight stability, incremental constrained net and inference cost.|Duplicated expert; common input outage; one useful weak expert; new missing pattern; all experts share bias.|Obtain useful complementary information without treating correlated variants as independent votes.
G02|forecast|Convert a volatility number into expected movement.|Separate variance and joint path mixtures with diverse physical/implied specialists.|A stack may overweight many variants of one estimator and leave inconsistent horizon or tail behavior.|Group primitive forecasts by information/estimand lineage and fit coherent horizon distributions within each valid target family. Compare pooled variance curves plus a separately learned conditional path law against direct path ensembles; share state representations only where target meaning is preserved.|Single multiscale baseline, uniform blend, flat target-specific stack and hierarchy with explicit horizon/path consistency.|Proper target loss by horizon, tail coverage, first-passage calibration where supported, downstream location/value improvement and cost.|Many near-identical lags; discontinuity at session boundary; correct RV with wrong return tail; shrinking remaining horizon.|A richer ensemble supplies the specific variance, excursion or ordering information its consumers need; no unsupported conversion between them.
G03|forecast|Interpret fitted probabilities or quantiles literally.|Chronological calibration, conditional diagnostics and uncertainty with coherence checks.|Sparse local cells can overfit, while aggregate calibration conceals selection and horizon failures.|Compare hierarchical shrinkage of conditional calibration parameters across asset/session/coverage/horizon with pooled calibration. Fit coherent target families jointly when feasible and evaluate calibration after the entire projection, gating and selection chain, including best-action versus flat margins.|Identity, pooled logistic/temperature, isotonic and hierarchical conditional calibration using identical chronological fitting closures.|Proper loss, reliability by supported group, interval coverage, selective risk, effective date support and decision stability.|Rare coverage cell; conditional reversal hidden by overall reliability; calibration projection changes rank; outer-test reuse.|Supply calibrated uncertainty at the actual decision point, retaining pooled fallbacks when local evidence is insufficient.
G04|forecast|Reach depends on distance divided by volatility.|Competing first-contact hazards and independently validated path-model alternatives.|Marginal reach estimates can miss topology, co-contact, changing travel speed and uncertainty about arrival conditions.|Build a common landmark event model over frozen candidate regions, with disjoint first-contact/co-contact/gap/no-contact outcomes, arrival time and arrival-state distribution. Compare a sparse discrete hazard model with a shared path-scenario law that also generates these labels; include state-dependent activity clocks without changing wall-clock cutoffs.|Distance baseline, independent hazards, joint landmark hazards and validated common path scenarios under identical frozen objects.|Joint log/proper score, contact/time calibration, gap/co-contact error, pre-touch value and runtime.|Overlapping bands; gap jumps nearer band; removed optional candidate; slow approach followed by burst; censored boundary.|Give G05/G07 a coherent distribution of where, when and in what observable state price may arrive.
G05|forecast|Score a level by bounce or target-hit rate.|Distinct pre-touch and post-touch ordered departure, continuation and runner models.|A binary success label loses rebound-then-failure, traversal and duration that alter exit value.|Use a compact multi-state landmark model for contact, initial departure, retrace, renewed departure, traversal and expiration; define barriers and states before outcomes. Compare structured transition hazards against direct joint outcome/time heads and simple empirical episode tables; pre-touch forecasts integrate possible arrival states.|Existing hit/runner heads versus structured episode model and joint direct heads, at matched cuts and information budgets.|Ordered path proper loss, duration/return calibration, stop/exit decision value and uncertainty by independent episode/date.|Fast bounce then failure; delayed runner; re-entry into band; simultaneous barriers; no resolved outcome by cutoff.|Separate temporary reaction from sustainable opportunity and provide distributions usable by full-position management.
G06|decision|Multiply win probability by reward and subtract loss/cost.|Joint fill, path, cost, occupied duration and terminal-state action value.|Independent action estimates waste shared information and can exaggerate uncertainty in one difference while understating common model error.|Evaluate all feasible complete policies on coupled, admissible outcome scenarios and common random numbers. Compare direct action-value fits with a regularized model of paired value differences relative to a simple policy; propagate common fill/price/latency errors jointly and preserve the cash reward contract.|Empirical outcome table, existing distributional value, coupled scenario evaluation and paired residual-value model.|Paired value error, policy regret on supported simulation assumptions, net/tail calibration, ranking stability and compute.|Two actions share every outcome until one stop event; incompatible fill scenarios; double-counted continuation; profitable but long occupancy.|Improve enter/route/exit comparisons while making common uncertainty and simulator dependence explicit.
G07|decision|Take the nearest good level or wait for confirmation.|Common-boundary finite-horizon policies with occupancy and information transitions.|Waiting rules rarely separate the information gained from the price, time and opportunity lost while obtaining it.|Add bounded two-decision lookahead with explicit observation-event transitions. Estimate the incremental value of the next observable stage versus price deterioration, nonarrival and opportunity consumption; compare to a myopic policy and fixed waits before expanding depth. Include a finite-horizon value-of-information decomposition as a diagnostic.|Positive-value now, fixed deeper/confirmation wait, one-step and bounded two-step policies with identical candidate availability and reward accounting.|Full-day constrained net, waiting regret, missed/expired opportunities, occupancy, transition calibration and planning cost.|No confirmation arrives; better level invalidates; new opportunity appears while occupied; additional signal changes nothing; boundary intervenes.|Choose when waiting improves the complete day policy instead of treating stronger confirmation as automatically beneficial.
G08|decision|Rank levels by distance, size or confluence count.|Complete action sets, calibrated values and pairwise/listwise/set alternatives.|Equivalent actions and correlated objects can inflate competition; value differences near the selected maximum remain poorly calibrated.|Canonicalize actions with identical execution/terminal-policy meaning, preserve their evidence provenance, then compare calibrated pairwise value differences and set-aware selection. Add conservative dominance pruning only when the declared outcome/continuation model establishes it; benchmark against complete enumeration and keep a no-pruning reference.|Nearest/confluence, pointwise value, paired difference and set policy; full enumeration versus proven-local pruning.|Selected-versus-flat calibration, net/regret, candidate coverage, action stability under duplicates and decision latency.|Duplicate geometry with distinct evidence; action differs only in expiry; unseen set size; apparent pointwise dominance fails after occupancy.|Select among complete feasible alternatives with less duplicated evidence and measured computational savings.
G09|decision|Trade when enough indicators agree.|Separate critical validity and later uncertainty/support gates with risk-coverage evaluation.|Large forecast disagreement need not change the best action, while small forecast error can reverse a close decision.|Compare action-stability and conditional regret gates under joint uncertainty scenarios with forecast-spread thresholds. Evaluate reduced-use, wait and flat choices separately; use supported reliability estimates and preserve unconditional integrity/risk rules. Calibrate the resulting selected policy rather than only the ungated predictor.|Always-use-valid, fixed spread/support thresholds and joint action-instability/regret rules under the same opportunity set.|Net-versus-coverage frontier, tail risk, abstention opportunity cost, decision disagreement and date support.|Uncertain forecasts imply same action; precise forecasts have near-tied values; unsupported missing pattern; false confidence from correlated experts.|Abstain for decision-relevant uncertainty while retaining useful opportunities whose action is robust within tested assumptions.
G10|research_method|Refit the full system whenever performance falls.|Per-expert versioned adaptation, mature-label monitoring and rollback.|One schedule can over-update stable measurements while missing deterioration in calibration or action selection.|Separate measurement-state updates, forecast parameters, calibrators, mixture weights and policy thresholds into independently versioned change layers. Compare bounded layer-specific update policies and champion/challenger shadow evaluation under a fixed intervention/false-alert budget; evaluate the complete adaptation policy prequentially.|Frozen, uniform scheduled refit, layer-specific schedule and registered drift response with identical data maturity and total budget.|Recovery delay, unnecessary changes, calibration/net after costs, artifact compatibility and rollback time.|Calibration drift with stable ranking; upstream source fault; many correlated alerts; changed model needs new calibration; performance dip from chance.|Change the smallest evidenced layer and retire unsupported experts without discretionary rescue of a future test.
P01|engineering|Convert a signal directly into an order.|Complete one-mini state/action policy with risk-approved intents and causal event decisions.|Reference research and optimized runtime can interpret the same action or order transition differently.|Compile registered action templates and pre/postconditions into a shared policy transition protocol, with a literal reference reducer and optimized executor. Explicitly encode pending entry, protective orders, action expiry, terminal time and reward ownership; enumerate small reachable state graphs for semantic checks.|Hand-authored reference transitions versus compiled templates and optimized execution on identical event traces.|State/action parity, unreachable illegal states, duplicate intent detection, transition latency and reproducible recovery.|Candidate changes while entry pending; exit and stop race; clock cutoff without price event; flat state with live entry order.|Keep increasingly rich selection and management policies within the same complete executable one-mini contract.
P02|decision|Use a fixed RR or a source stop and target.|Structural stops, valid tick rounding, path distributions and budget feasibility.|Optimizing stop, target and expiry separately can choose a bracket that is jointly dominated or unfunded at actual entry.|Construct a joint feasible frontier over source-faithful stop variants, destination, expiry and route using the same coupled path/cost scenarios. Prune only verified dominated complete plans; compare robust lower-value/tail constraints with expected-value selection. Keep structural invalidation distinct from adjustable buffers.|Fixed/source bracket, structural nearest target, full registered grid and conservative frontier selection at identical entry cuts.|Net and tail loss, budget-feasible opportunity coverage, sensitivity to fill price, frontier regret and computation.|Tick rounding crosses headroom; target reached after expiry; mapping uncertainty changes stop; high-value plan consumes all remaining day.|Choose complete feasible brackets with a transparent tradeoff among loss, destination, time and execution uncertainty.
P03|decision|Move a stop to entry or trail each new swing.|Separate full-position exit, stop, target and hold policies with incremental value.|Frequent marginal amendments may add latency/race exposure and overreact to noisy small value changes.|Estimate the incremental full-exit/hold/amend value relative to the current committed policy on paired scenarios. Compare shrinkage and hysteresis/minimum-value thresholds for optional amendments, accounting for cancel/replace delay and loss of old protection; emergency risk actions bypass discretionary thresholds.|Fixed bracket, simple trail, existing stopping model and incremental-value policy with/without amendment hysteresis.|Constrained net, giveback/tail risk, amendment count, protection gaps and incremental value calibration.|Tiny oscillating benefit; large thesis failure; old stop fills during replace; target extension loses a timely exit.|Improve management only when its expected benefit survives amendment costs and uncertainty for the entire single position.
P04|decision|Retry a level a fixed number of times.|Idea lineage, fresh-evidence rules and cumulative idea/day budgets.|A new timestamp or return to the same band may repeat the original evidence rather than renew opportunity.|Build a causal evidence-novelty and replenishment state for each idea, separating new flow/structure/source changes from reused observations. Compare repeat quality conditional on visit history with pooled first-entry quality, using partial pooling for sparse later visits and the same cumulative budget.|No retry, fixed cooldown/count, existing repeat model and novelty-conditioned repeat value.|Net by visit and idea, cumulative loss/tails, false novelty, missed renewed opportunities and independent idea support.|Band reissued with new ID; same prints reused; new valid defense after loss; profitable prior trade but no new evidence.|Permit re-entry only when fresh information adds value under unchanged one-unit and cumulative-risk constraints.
P05|research_method|Assume a touch fills the order.|Venue/information clocks, marketable reference fills and passive uncertainty scenarios.|Independent optimistic/pessimistic assignments can create impossible comparisons among policies sharing one market path.|Build coupled admissible fill scenarios with explicit latent queue/priority assumptions and common venue paths. Report partially identified economic ranges across the registered scenario set, preserving policy occupancy and order races; add telemetry-calibrated probabilities only when eligible observations exist.|Marketable baseline, independent passive bounds and coupled feasible-scenario bounds; later telemetry-calibrated model when supported.|Width of economic uncertainty, fill/markout calibration on supported cohorts, ordering consistency and policy robustness.|Competing orders cannot both receive the same scarce execution; cancel race; queue reset; insufficient depth; shared path with different occupancy.|Distinguish promising policies robust to available fill uncertainty from ones requiring better execution evidence.
P06|forecast|Subtract a fixed spread and commission.|Itemized shortfall, latency, adverse selection and route-conditioned cost models.|Mean costs obscure joint tails of delay, fill and adverse movement precisely when a signal looks strongest.|Fit a compact joint execution outcome law for fill/no-fill, elapsed time, shortfall and subsequent markout conditional on route and observable state. Compare state-conditioned quantile/competing-risk models with conservative tables; separate controllable route effects from unsupported counterfactual claims.|Fixed conservative cost, spread/pace table, existing cost regression and joint outcome model on matched eligible data.|Joint/quantile loss, tail coverage, net after route choice, robustness to latency stress and additional data value.|Fast market widens spread and delay together; passive fill selects adverse paths; crossed venue; fee version changes.|Price the full execution tradeoff and favor routes whose advantage survives observed support and cost uncertainty.
P07|engineering|Send, cancel and retry orders based on acknowledgments.|Durable idempotent state machine, broker reconciliation and unknown states.|Rare interleavings and restart boundaries can evade a few happy-path replay cases.|Specify a bounded protocol model with invariants and exhaustively enumerate short event interleavings, then replay generated traces through the reference reducer and adapter. Test durable intent/outbox checkpoints, duplicate acknowledgments and reconciliation; external exactly-once behavior is conditional on verified broker capabilities.|Handwritten scenarios versus model-generated trace corpus and adapter/reference replay.|Invariant failures, reachable unknown-state recovery, duplicate external intent risk and time to reconcile.|Crash between persist/send; late fill after cancel; duplicated/reordered ack; non-atomic OCO; broker snapshot older than fill.|Strengthen deterministic order safety and recovery as the number of allowed policy actions grows.
P08|engineering|Stop trading after realized loss reaches a threshold.|Liquidation-based headroom, remaining adverse reserve and atomic pending-exposure accounting.|Blind summation wastes headroom, while incompatible favorable offsets or missed races underreserve it.|Enumerate feasible near-term order/fill/cancel states and calculate incremental loss reserve on each state using a shared scenario tree. Compare the maximum valid reserve with a conservative additive reference; offsets require an enforceable relationship, and market gaps retain explicit stress uncertainty.|Additive reference versus feasible-state reserve engine on identical positions, fees, order semantics and stress envelopes.|Zero reserve omissions in enumerated cases, feasible opportunity retention, compute latency and breach outcomes under stress.|Entry and protective order race; cancel unconfirmed; already marked loss; fee accrued once; apparently offsetting orders both increase exposure.|Use scarce one-mini risk headroom more precisely without weakening the independent daily/firm veto.
P09|engineering|Treat a funded account as a fixed profit target and loss limit.|Versioned product/account state machines and exact rule scenarios.|Separate handwritten rule calculations can diverge across research, monitoring and cash reports.|Represent product rules as typed balance functions, calendar predicates and lifecycle transitions with an evaluation trace. Compile the same definition into reference account replay and runtime checks; include effective-version and unknown-term handling. Any commercial comparison uses verified current terms at its actual decision time.|Hand-calculated paths and existing engine versus compiled rule definitions with independent arithmetic fixtures.|Rule parity, explanation coverage, update impact, lifecycle/cash reconciliation and unsupported-term detection.|Trailing floor locks; pending payout affects headroom; rule changes by purchase date; holiday boundary; failed account retained.|Make product feasibility and breach reasons reproducible without letting a learned strategy reinterpret account rules.
P10|engineering|Flatten a fixed number of minutes before close.|Independent boundary timers, actual remaining horizons and conservative cancel/flatten buffers.|A single fixed buffer ignores route-specific tail latency and the time needed to discover and reconcile unknown orders.|Build a deadline-budget controller that allocates time to cancel, reconcile, flatten and verify. Compare fixed conservative buffers with measured conditional latency quantiles and bounded retry plans; choose latest permitted entry from the complete boundary-truncated plan. Missing telemetry uses the registered conservative fallback.|Fixed buffer versus conditional deadline budget under identical required cutoff and fault scenarios.|Flat/no-live-order verification time, missed cutoff frequency in simulation, final-period opportunity value and safety margin.|No ticks near cutoff; cancel timeout; reconnect; halt; early close; high latency correlated with volatility.|Retain eligible late opportunities only when the full exit/reconciliation plan fits the mandatory boundary budget.
