family	id	audit	fixture	leakage	spike_flag	notes
options	value.node.oi.ndxp.top3.mapped_nq	not-measurable	pass	0	pending-ratio	missing strike; missing distance fields; missing tagged; missing near
options	value.node.oi.nq.opt.top3	fail	pass	0	n/a	missing strike; missing distance fields; missing tagged; missing near
options	value.node.oi.nqopt.top3	fail	pass	0	n/a	missing strike; missing distance fields; missing tagged; missing near
options	value.node.oi.qqq.top3	fail	pass	0	n/a	missing strike; missing distance fields; missing tagged; missing near
options	value.node.oi.qqq.top3.mapped_nq	fail	pass	0	pending-ratio	missing strike; missing distance fields; missing tagged; missing near; ETF marked non-native
options	value.node.oi.spx.top3	fail	pass	0	n/a	missing strike; missing distance fields; missing tagged; missing near
options	value.node.oi.spx.top3.mapped_nq	not-measurable	pass	0	pending-ratio	missing strike; missing distance fields; missing tagged; missing near
options	value.node.oi.spxw.top3	fail	pass	0	n/a	missing strike; missing distance fields; missing tagged; missing near
options	value.node.oi.spxw.top3.mapped_nq	not-measurable	pass	0	pending-ratio	missing strike; missing distance fields; missing tagged; missing near
options	value.node.oi.spy.top3	fail	pass	0	n/a	missing strike; missing distance fields; missing tagged; missing near
options	value.node.oi.spy.top3.mapped_nq	fail	pass	0	pending-ratio	missing strike; missing distance fields; missing tagged; missing near; ETF marked non-native
options	value.node.oi.top3.index	pass	pass	0	n/a	report present
options	value.skylit.atlas	not-measurable	pass	0	n/a	report present
options	value.skylit.flowseeker	not-measurable	pass	0	n/a	report present
options	value.skylit.heatseeker	not-measurable	pass	0	n/a	report present
path	balance.body-ratio	pass	pass	0	n/a	report present
path	balance.vp-shape	pass	pass	0	n/a	report present
path	edge.clean	pass	pass	0	n/a	report present
path	grid.jumbo.projection-reject	pass	pass	0	n/a	report present
path	judas.depth.-0.5	pass	pass	0	n/a	report present
path	path.6-9.published	pass	pass	0	n/a	report present
range	bin.0930-0950	pass	pass	0	n/a	report present
range	bin.0940-0950	pass	pass	0	n/a	report present
range	bin.0950-1000	pass	pass	0	n/a	report present
range	bin.1000-1030	pass	pass	0	n/a	report present
range	bin.1030-1200	pass	pass	0	n/a	report present
range	onh_or_onl	pass	pass	0	n/a	report present
range	range.5-9	pass	pass	0	pending-1s	no window in report
range	range.6-9.dollar-bars	pass	pass	0	pending-1s	report present
range	range.6-9.published	pass	pass	0	pending-1s	report present
range	range.6-9.trade-count	pass	pass	0	pending-1s	report present
range	range.6-9.trade-level	pass	pass	0	pending-1s	report present
range	range.6-9.vol-elapsed	pass	pass	0	pending-1s	report present
range	range.7-9	pass	pass	0	pending-1s	no window in report
range	range.8-9	pass	pass	0	pending-1s	no window in report
range	range.asia.2000-2030	pass	pass	0	pending-1s	no window in report
range	range.gb.10-11	pass	pass	0	pending-1s	no window in report
range	range.gb.asia	pass	pass	0	pending-1s	no window in report
range	range.gb.hour	pass	pass	0	pending-1s	report present
range	range.gb.london	pass	pass	0	pending-1s	no window in report
range	range.gb.nyam	pass	pass	0	pending-1s	no window in report
range	range.ib	pass	pass	0	pending-1s	no window in report
range	range.london.00-03	pass	pass	0	pending-1s	no window in report
range	range.london.0300-0330	pass	pass	0	pending-1s	no window in report
range	range.lunch.1200-1230	pass	pass	0	pending-1s	no window in report
range	range.midnight.0000-0030	pass	pass	0	pending-1s	no window in report
range	range.moc.1500-1530	pass	pass	0	pending-1s	no window in report
range	range.on.1800-0930	pass	pass	0	pending-1s	no window in report
range	range.or.15m	pass	pass	0	pending-1s	no window in report
range	range.or.5m	pass	pass	0	pending-1s	no window in report
range	range.rth.0930-1000	pass	pass	0	pending-1s	no window in report
range	range.rth.1000-1030	pass	pass	0	pending-1s	no window in report
tpo	label.amt.80pct.two-period	pass	pass	0	n/a	report present
tpo	label.amt.day	pass	pass	0	n/a	report present
tpo	label.amt.open.30m	pass	pass	0	n/a	report present
tpo	value.tpo.rth.30m	pass	pass	0	n/a	report present
tpo	value.tpo.rth.30m.trade	pass	pass	0	n/a	report present
value	env.vwap.rth.sd2	pass	pass	0	n/a	report present
value	value.dealer.inventory	not-measurable	pass	0	n/a	report present
value	value.delta.rth.trade	fail	pass	0	n/a	delta row aliases vp_touch
value	value.hidden.book	not-measurable	pass	0	n/a	report present
value	value.kz	pass	pass	0	n/a	report present
value	value.vp.rth.trade	pass	pass	0	n/a	report present
vol	vol.gk20	pass	pass	0	n/a	report present
vol	vol.har	pass	pass	0	n/a	report present
vol	vol.iv.atm	not-measurable	pass	0	n/a	report present
vol	vol.rv20	pass	pass	0	n/a	report present
