id|focus|definition|comparison|fixtures
M07|VWAP numerical and anchor stability|Use stable weighted moments with explicit rolling-window downdates and zero-mass behavior. Track anchor selection and birth separately from its historical geometric start; several anchors at one price remain correlated candidates.|Compare exact two-pass references, online updates and rolling downdates; compare anchor and dispersion choices without post-hoc choosing the winning anchor.|Large price with tiny dispersion; remove the last trade in a rolling window; confirmed swing anchors a historical window only when known; split and adjustment consistency.
M08|Swing threshold ownership|Freeze a directional-change threshold at leg birth for the initial reference. A dynamically updated threshold is a separate causal detector because falling volatility can trigger confirmation without further price movement. Store equal-extreme tie and nested-leg rules.|Compare fixed-at-birth and dynamic thresholds after their actual delay, against raw lagged-price and running-extreme controls.|Price unchanged while volatility threshold falls; plateau equal highs; nested swings confirm together; gap jumps beyond reversal threshold.
M09|Pressure observation support|Define event-rate exposure using observed source time and retain action ambiguity on two-sided updates. Imbalance and microprice are unavailable when total eligible displayed size is zero; no hidden-depth interpretation enters a feature name.|Compare quote state, observed action rates, trade flow and their interactions with common cuts and coverage; normalization must preserve tick/contract units.|Both sizes zero; spread changes with unchanged imbalance; action side N on a two-sided update; a gap crossing the OFI window; trade and subsequent book change counted twice.
M10|Effort denominators and exposure|Use covered elapsed time for activity rates, with missing time separate from quiet time. Retain progress, effort and duration alongside any ratio, and define burst start/completion without using its future maximum.|Compare additive numerator/denominator models, bounded ratios and marked event models on identical observation windows.|Zero effort and one-tick motion; identical quantity in different durations; partial outage in the denominator; a burst chosen because of its later price reversal.
M11|Memory membership and markout origin|Freeze each queried cluster membership/version at the cut. Future cluster merges cannot rewrite prior feature membership or training groups. Record markout origin, observation process and maturity separately from a later protection confirmation.|Compare price-only clusters with signed/cohort/decayed memory using identical births; evaluate decay and retest policies separately from cluster discovery.|A later print bridges two clusters; overlapping markout horizons; protection confirmed after the opportunity has passed; opposing memories at one price.
M12|Reference identity and missing opens|Distinguish the first observed print from a certified session open when opening data are missing. Each reference carries source type, economic observation date and known time; substitutions create named alternatives rather than changing its identity.|Compare gap/reclaim predictions by reference type at common availability, with auction and incomplete-open cohorts explicit.|Late first observed print; revised settlement; exchange open differs from bar timestamp; two references numerically equal but have different publication histories.
M13|Sparse footprint contrast|Keep empty observed cells, unobserved cells and price gaps distinct. Compare raw ratio thresholds with count-aware/shrunk side contrasts; smoothing or pseudocounts are versioned estimators and cannot create traded mass.|Compare continuous side contrasts, binary stacks and spatial/temporal encoders at matched row size, minimum mass and decision delay.|One buy against zero sells; ratio dominated by two contracts; nonadjacent traded rows appear stacked after gap compression; provisional tail changes before bar completion.
G01|Evidence diversity and duplicate experts|Track shared inputs, fitted ancestors and duplicate predictions as evidence groups. Duplicating an equivalent expert must not be presented as additional independent support; calibrate the complete selected mixture and missingness policy.|Compare a matched-input joint model, independent heads, grouped mixtures and a simple single expert; inspect residual diversity and clone sensitivity.|Clone one expert under several IDs; identical means with different tail distributions; a group disappears; gate trained on the same labels as its upstream calibrator.
G02|Variance and horizon estimand identity|Distinguish integrated/realized variance targets from variance of terminal return, and variance of price changes from log returns. Each port names sampling, clock and horizon; aggregation/rescaling requires the stated mathematical relationship.|Compare horizon-specific forecasts and explicit aggregation models; evaluate coherent excursion/path heads separately from variance-only accuracy.|Annualized IV mixed with raw squared ticks; summing terminal-return variances while ignoring dependence; session remainder changes; crossed quantiles after transformation.
G03|Calibration through the whole fitted chain|Treat calibrators and learned coherence corrections as fitted dependencies in the OOF graph. Reassess calibration after any change to expert weights, support gate, target or monotonicity transformation; local calibration does not automatically survive selection.|Compare identity, pooled and conditional transforms on separate chronological roles, including reliability after the actual policy's selection.|Calibrator sees the downstream training label; coherence repair changes tail coverage; constant forecasts; rare cohort overfit; good unconditional reliability with bad selected-subset reliability.
G04|Overlap-aware reach event algebra|Define whether first contact is to individual objects, disjoint spatial regions or co-contact sets. Overlapping objects can be touched together, so their marginal probabilities are not a categorical partition. CDF monotonicity applies to the same frozen object and cut.|Compare independent marginal heads and a coherent arrival/region model with complete candidate geometry, explicit gap events and no-contact probability.|Two identical bands; nested bands crossed by a price gap; overlapping bands with simultaneous contact; a shorter-horizon reach probability above a longer-horizon probability.
G05|Arrival-conditioned path coherence|The target registry states which outcomes are exclusive, nested or overlapping. Pre-contact integration includes arrival time/state and the remaining fixed-end window; post-contact heads have their own information set and cannot replace earlier forecasts retrospectively.|Compare direct joint reach/departure prediction, correctly factored conditional models and arrival-state integration; verify both conditional and unconditional calibration.|Runner after a partial retrace; contact just before horizon end; a current-inside object; future arrival features accidentally supplied at the earlier cut.
G06|Value uncertainty after action search|Separate future payoff dispersion, parameter uncertainty and scenario uncertainty in the value output. The chosen maximum across many actions needs selection-aware evaluation; a per-action lower bound is not automatically a simultaneous guarantee.|Compare expected-value and prespecified conservative policies on the same complete action grid with jointly paired uncertainty and calibrated net outcomes.|Adding many noisy action variants creates a false winner; identical gross P&L with different costs; duplicated plans; uncertainty collapses when adverse fill/markout dependence is ignored.
G07|Planner support and transition error|Declare finite planning states, event/time resolution and the prospective object-arrival model. Continuation can depend on future observations only through a trained transition distribution; it cannot query the replay's actual future candidate set. Carry planning uncertainty and occupancy.|Compare shallow reference trees, act/wait rules and fitted continuation at matched actions; increase depth only if transition-error stress and complete-policy evidence improve.|A future object known only from the completed replay; deeper planning amplifies small optimistic bias; pending cancellation occupies the action state; no valid continuation model.
G08|Economic action identity and stable selection|Deduplicate equivalent executable plans while retaining all source-object provenance. Ranking two descriptions of the same order is not two opportunities. Freeze tie behavior and record rejected alternatives including those displaced by an occupied position.|Compare pointwise, pairwise and set selection on identical unique plans; report sensitivity to candidate density and correlated proposal families.|Candidate order permutation; duplicated source labels; equal values at numerical tolerance; best-ranked plan becomes infeasible before dispatch; many near-identical stops.
G09|Eligibility versus statistical abstention|Keep deterministic invalidity, unsupported model domain and discretionary uncertainty abstention as separate reasons. Report selection coverage by time/day and by opportunity population, including flat days and opportunities consumed by earlier trades.|Compare support thresholds using the joint risk/coverage/net frontier and reliability of the selected subset, with thresholds fixed before confirmation.|High apparent accuracy from rejecting almost all activity; a data outage confused with low confidence; a rare supported event versus an unseen mask; denominator changes after threshold tuning.
G10|Atomic model-version compatibility|An upstream update carries a compatibility manifest for scalers, calibrators, gates and continuation models. Refit/revalidate affected dependents or retain the preceding complete compatible bundle; do not mix versions because individual files load successfully.|Compare frozen bundles, scheduled bundle changes and prespecified granular updates including their recalibration, downtime and compute costs.|New expert with old gate calibration; update while an inference is pending; rollback after changed feature schema; late labels would change a past update decision.
V01|Observation-aware label completeness|Store target end, actual observation end, maturity and revision separately. Administrative boundaries defined into the target are complete outcomes; lost observation before the target ends is censoring. Missingness potentially related to volatility requires sensitivity or bounds rather than assumed random censoring.|Compare independent reference and optimized labelers by event algebra and coverage, including direct joint and factored labels.|Observed no-touch versus outage; horizon ends at a planned boundary; all losses disappear during feed gaps; a revised object changes an old label; co-contact outcomes double counted.
V02|Fitted-state availability and calibration leakage|Every model, calibrator and learned transform has an information cut and label-maturity eligibility. Build OOF for the full chain, including feature discovery and calibration; fold/date labels alone do not establish that every fitted value was knowable then.|Compare expanding and rolling chronology with explicit training/tuning/calibration/evaluation roles and dependency-closure checks.|A weekly report label matures after a scheduled refit; calibrator trained on downstream examples; historical feature lookback shared legally; retained state encodes a held-out future label.
V03|Complete search and screening accountability|Register the search over definitions, inputs, labels, models, gates and policies together. Keep scientifically screened-out, failed-to-run, data-blocked and empirically rejected branches distinct; an early screening gate cannot silently erase mandatory scope.|Compare registered small search spaces and stronger candidates at matched information/compute; reserve independent confirmation for selected hypotheses and prespecified interactions.|Same hypothesis renamed; a failed job omitted from resource/search accounting; IV/VIX examples crowd out other required families; an untested branch labeled inferior.
V04|Completion and evidence are separate decisions|Report implementation coverage, applicable-test coverage, predictive support, integrated economics and future evidence as distinct statuses. A complete research package can report not-met or inconclusive economics; a bounded data audit cannot mark a signal validated.|Compare the complete supported system and simple baselines under the frozen objective and account definitions; retain every unresolved dependency in the final coverage report.|All files exist but tests are placeholders; a local metric passes while account paths fail; blocked future evidence reported complete; a favorable point estimate substituted for the required interval.
V05|Monitoring the collection of experts|Calibrate the joint alert policy across correlated experts and repeated monitoring times. Distinguish individual warnings from a family-wide incident and measure cumulative false-alarm/abstention cost; critical deterministic faults retain immediate handling.|Replay frozen seasonal, residual and multivariate monitors with actual label delays and correlated source failures before enabling an adaptation policy.|One common feed fault triggers dozens of false independent alarms; delayed labels mask drift; repeated small alarms cause permanent abstention; stable predictions but worsening execution.
V06|Decision parity at numerical boundaries|Compare semantic state and final actions exactly where specified, while allowing justified numeric tolerances only for intermediate calculations. Small floating differences crossing a threshold require a deterministic decision rule or explicit ambiguity resolution.|Compare reference, optimized, chunked and restarted runs on identical captured inputs, including configurations near action thresholds.|Numerically close values choose opposite sides; different chunk sizes change a tied POC; interrupted atomic write; restart after send but before acknowledgement; same capture with different receipt scheduling.
V07|Attribution with changed populations|Separate a fixed-opportunity scorer intervention from a generator intervention and a full-policy intervention. Refit downstream OOF dependents when the intervention changes their training inputs; population/occupancy changes are part of full-policy effects.|Compare paired baseline replacements and selected factorial interactions, retaining invariant risk controls and reporting nonadditive effects without forced credit allocation.|A removed feature changes candidate count; an earlier trade blocks a later one; a baseline swap invalidates gate calibration; conditional gains reverse on the full eligible-day ledger.
V08|Resumable work and full-scope progress|Jobs have immutable configuration/input IDs, atomic output commits and explicit retry/checkpoint semantics. Track completed, pending, blocked and rejected work against the whole scope across resumptions of the same implementation thread; budget limits do not imply scientific rejection.|Benchmark reference and optimized pipelines with cold/warm caches and realistic contention; continue independent eligible work when a branch awaits data or future observations.|Retry duplicates artifacts or trials; changed input hash resumes an incompatible checkpoint; disk-full partial model appears complete; one blocked feature stops unrelated milestones.
C01|Range birth, freeze and anchor identity|Give provisional formation, completed observation, publication and later revision distinct states. A valid range needs all required source intervals or an explicit partial-range variant. Store raw anchor coordinates and normalized multiples before display rounding.|Compare identical underlying intervals through event/bar references and each disclosed source anchor; revisions create new views without changing earlier decisions.|Zero width; missing early high; a last forming trade arriving late; 1.33 extension versus normalized position 1.33; revised prior-RTH range.
C02|Ordered contact and breach semantics|Define breach, traded contact, gap crossing, return and retest separately against the frozen object version. Record unresolved tie sets when source ordering is insufficient. A final no-break label requires a complete horizon.|Compare strict source transitions and registered hysteresis/tolerance variants on the same observed path and denominator.|Both edges inside one unresolved bar; repeated high breaks before low; gap across an edge without traded touch; state at exact horizon endpoint.
C03|Overlapping branch forecasts|Treat wide/internal, first projection, later reversal and partial-retrace branches as hypotheses/heads that may overlap. Use a multinomial only after defining an exclusive outcome partition; common-target head probabilities are not added as independent evidence.|Compare pooled conditional path model, partial pooling and branch-specific experts at matched information and effective day support.|One path reaches a projection then partially retraces and later reverses; two heads share the same outcome; missing branch applicability; repeated prefixes from one day.
C04|Opening reference and attribute maturity|Freeze the prior profile/reference version used for opening classification. Keep observed opening attributes, elapsed persistence and matured future type separate; reference touches have declared tolerance and ordering.|Compare prior-range-only, prior-value-only and joint opening information using identical opening cuts and future horizons.|Reference tested before versus after departure; opening band crossed after an apparent early drive; prior profile corrected at noon; missing true first trade.
C05|Formation as a causal stopping rule|Specify anchor, eligible activity, stop condition, maximum formation time and no-formation outcome. Include days without a completed adaptive range in the opportunity/day denominator; a boundary selector cannot see its downstream future outcome at inference.|Compare clock/activity/auction rules with equal search budget and common full-day policy denominator; distinguish formation-selection value from forecast value.|Threshold reached during one atomic trade; activity gap; stop never reached; two equally scored windows; inner selector accidentally trained on an outer date.
C06|Coherent excursion and path objects|Retain decision anchor, fixed end, upward/downward excursion and terminal-price target as separate fields. Joint samples must obey their own price-path support; marginal quantiles do not imply ordering, reach or a realized path. Calibrate only target-compatible outputs.|Compare marginal quantiles with joint excursion/time/path models using the capabilities each actually supplies; price-grid contact differs from gap crossing.|Terminal displacement larger than sampled maximum; crossing quantiles; shifted decision price with same named session end; no future observations versus a zero move.
C07|Frozen versus moving auction references|For dwell/volume outside value, identify whether the boundary is frozen at episode birth or updated with the developing profile. Record boundary-motion events separately from price crossings. Observation gaps do not establish continuous dwell or rejection.|Compare fixed-reference acceptance, causal moving-reference acceptance and continuous measurements while controlling for profile maturity.|Price unchanged while VAH moves across it; wick outside then no observed trades; moving boundary reverses twice; a covered quiet interval versus lost feed.
C08|Comparable distribution migration|Compare nonnegative profile mass on a shared raw-price/tick grid with explicit overflow and coverage. Separate total mass growth, normalized shape change, coordinate drift and missing-support change; signed delta uses buy/sell or positive/negative channels rather than an invalid signed probability measure.|Compare POC/centroid shifts, overlap and transport-style shape features on fixed support and matched elapsed time/activity.|Same POC but opposite mass transfer; removed wing mimics migration; negative delta bins; all mass at one price; roll-coordinate bridge change.
C09|Seasonal target and exposure accounting|Separate true range, anchored excursion, integrated return variance and terminal-return variance. A seasonal baseline records covered duration, trading/calendar clock and prior-price scale; incomplete sessions are neither ordinary full sessions nor zero observations.|Compare pooled and partially pooled seasonality on the same target/cohort, retaining gap and short-session channels.|Same range with different terminal variance; missing previous close; shortened session; unchanged valid price path; holiday incorrectly counted as a zero day.
C10|Valid-domain GK arithmetic|For valid positive OHLC, H encloses O/C and L encloses O/C. A materially negative GK result signals invalid inputs/numerics, not negative variance to silently clip. Keep overnight movement separate and label the lag-to-forecast mapping.|Compare exact GK and alternative estimators on identical completed intervals before comparing downstream learners.|H below close; decimal/log roundoff near constant price; opening gap with constant intraday path; scaled prices give identical log variance.
C11|YZ interval and component identity|Preserve ordered contiguous interval pairs, sample-variance convention, Rogers–Satchell term, n-dependent weight and opening-gap definition. Missing intervals change applicability or an explicitly defined gap target, not the sample count silently.|Compare open/close boundary and component variants on matched observed intervals; distinguish estimator choice from forecast-model capacity.|n=1; skipped session between previous close and open; opening-only move; all equal prices; futures overnight boundary differs from RTH boundary.
C12|Observed price process and missing-grid semantics|Declare trade, midpoint or another price process and causal sampling rule. Healthy unchanged standing quotes can yield true zero returns; missing observation/liveness cannot. No next-tick interpolation enters a current grid point. Mark the covered target duration.|Compare sampling/noise methods against independent reference grids and downstream forecasts on the same supported process.|Constant live midpoint with active bid/ask bounce; forward-filled outage; future nearest tick chosen for a past sample; partial final grid interval.
C13|Forecast scale and retransformation|Give variance, volatility and log-variance models distinct target IDs. Exponentiating a conditional mean log variance estimates a different functional from mean variance; mean forecasts need a trained distribution/retransformation rule and separate calibration.|Compare persistence, HAR variants and registered long-memory alternatives with identical target, lags, horizon and tuning budget; retain component contributions rather than only a model name.|Log residuals with nonzero spread; 5 trading versus calendar days; unavailable current full-day RV; rolling warmup and same endpoint predicted at many prefixes.
C14|Jump proxy versus identified discontinuity|Record sampling, noise, finite-sample and threshold conventions for jump proxies; distinguish opening gaps, observed intraday discontinuities, clustered bursts and feed recovery. Zero truncated RV-minus-BV is a proxy outcome, not proof that no jump occurred.|Compare total variation, robust two-part continuous/jump forecasts and event-conditioned tails with natural event prevalence.|Spread bounce; two adjacent jumps contaminating BV; feed reconnection; scheduled announcement with no move; missing observations through the alleged jump.
C15|Common horizon and derivative conventions|Keep native-expiry, fixed-tenor and fixed-end forecasts distinct; record forward/spot, delta and calendar/trading-time conventions. Same-horizon physical variance gaps require OOF physical forecasts. Surface dynamics use explicit early measurement/scenario ports to avoid cycles.|Compare actual richer smile/term/event information separately from more powerful model class and from quote-coverage selection.|Two equal DTE labels with different settlement times; rolling tenor changes without same-contract IV change; a physical forecast trained on its own outcome; unsupported wing.
C16|Cadence-aware volatility information|Daily VX/index observations remain known daily state with age and expected next publication; they are not fabricated intraday updates and are not invalid solely because their values have not changed. VIX-option price/forward/IV targets use explicit native units and settlement class.|Compare each independently supported source at its actual cadence and effective information age before joint stress forecasting.|Repeated daily value during a live session; new daily publication; VIX forward versus equity IV units; missing intraday cash print; source outage versus scheduled silence.
C17|Event information versions|Separate scheduled time as then known, schedule revision, actual publication, receipt, consensus vintage and observed price reaction. An unscheduled event cannot appear in pre-event calendar features from a later complete calendar.|Compare anticipation, observed reaction and verified surprise channels separately, with matched non-event clocks and event episodes.|Release postponed after an earlier schedule; statement followed by press conference; consensus timestamp after publication; corrected macro value; coincident events.
C18|Independent control outcomes|Observed aggression/control features may summarize price/flow, but their predictive targets must be later movement, persistence or value rather than the same contemporaneous formula. Keep unknown-side and missing-tape states separate throughout cohort interactions.|Compare price-only, ordinary/cohort/OFI/footprint and joint heads at common cuts; reduce repeated-prefix weighting to episode/day support.|Positive signed flow with adverse price response; all flow unsigned; two cohorts offset; current control label accidentally used as future target; missing MBP with valid trades.
C19|Conditioned remainder and deadline|Define remaining excursions from the current decision price and the actual fixed end. Recondition on the observed prefix and age of upstream forecasts; do not reset a stale horizon or subtract past realized range from a total-range point estimate.|Compare unconditional, elapsed-time-only and prefix-conditioned remainder models with identical feasible destinations/deadline.|Early high never revisited; late-session target first reached after cutoff; previously traveled range expands again; only a short remainder of a 60-minute forecast is usable.
C20|Filtered regime fit closure|Regime features use permitted contemporaneous measurements and preceding matured residuals, never current downstream forecasts or a smoothed future state. Fit normalization, state model and state-to-head mapping within each upstream training closure.|Compare continuous axes, filtered discrete/duration state and pooled models, keeping feed-coverage state separately attributable.|State labels permute after refit; missing-feed regime looks like calm; rare state with one date; current forecast fed back into its own state classifier.
C21|Session handoff timing|Retain formation end, check interval, actual known completion and trading-date ownership for every source session. Earlier named session is not necessarily complete before the next opening cut; no full-session summary crosses that boundary early.|Compare known partial versus completed preceding-session state with explicit age and same future end; window shifts count as registered searches.|Overlapping London/NY definitions; midnight session; shortened day; source event postpones an expected turn; prior session delivered late.
C22|Proposal before scoring|Create initial Context opportunities from available forecast/state and a bounded stop/target recipe. Current G reach/value/ranking outputs consume those proposals; they cannot be prerequisites for their own birth. A later proposal-refinement pass has a separate acyclic port/version.|Compare level-only and Context-originated proposal sets, then score the same set to separate generation from selection.|A source-only opportunity; cyclic proposal→score→proposal; duplicate intents at one cut; missing feasible stop; Context proposal survives absent Response.
C23|Parkinson scale and interval support|Treat the high-low equation as a completed-interval measurement under its assumptions. Define mean-per-interval versus accumulated variance explicitly; multiplying annualization/display values into intraday targets without a clock model is invalid.|Compare range information and forecast mapping separately on common interval/coverage cohorts.|Opening jump outside sampled interval; high equals low; differing interval lengths; incomplete high/low; log-price scaling invariance.
C24|Innovation variance versus return-path variance|State the mean/residual process and distinguish predicted innovation variance, integrated conditional variance and terminal-return variance. Multi-step aggregation must respect modeled serial dependence; missing returns are not zero shocks. Record optimizer/domain failures.|Compare constrained ARCH/GARCH/asymmetric/tail variants with matched targets and complexity budgets against EWMA/HAR.|Autoregressive mean creates return covariance; holiday/no observation versus zero residual; near-unit persistence; failed fit; invalid heavy-tail moment parameter.
O01|Per-operation chain eligibility|Use separate valuation, signing, OI, exposure and comparison masks. Preserve exact PIT membership and duplicate acquisition lineage; one missing Greek cannot remove a valid gross trade, while an observed trade does not certify all listed wings.|Compare observed union and fixed comparable intersections without claiming their different populations estimate the same effect.|Valid trade with no IV; listed but unquoted wing; adjusted contract; duplicate narrow/broad acquisition; current-day list contains a later listing.
O02|Identified IV interval and solver error|Separate price admissibility, solver convergence and IV identification. Propagate quote plus underlying/forward/rate/model uncertainty jointly; an intrinsic boundary or zero bid may give one-sided/no IV identification rather than a finite point. Report solver tolerance separately from market uncertainty.|Compare direct price inversion and interval/scenario inversion with independent pricing references and exercise-aware models.|Bid below admissible bound; valid ask only; wide bid/ask with perfect solver residual; uncertain underlying; near-zero vega creates unstable IV.
O03|Trade condition and correlated sign uncertainty|Sign only conditions to which the chosen quote comparison applies; auction/late/corrected/package prints retain gross volume but may not support current-BBO aggressor inference. Preserve quote-age, source and shared classifier-error groups.|Compare quote/tick/unknown scenarios with suitable labelled data only; stress clustered rather than exclusively independent sign errors.|Many trades signed from one bad quote; late reported print; locked market; corrected aggressor; OPRA labels inferred from unrelated futures must not become truth.
O04|Feasible surface domain and quote slack|Record which price intervals can be jointly satisfied by the chosen contract-consistent surface. If quotes are mutually inconsistent, expose minimal/weighted slack, rejected rows and uncertainty instead of claiming exact bid/ask and arbitrage consistency simultaneously. Separate current fit from temporal forecasts.|Compare local price interpolation, constrained parametric fits and richer representations on held-out prices and downstream uncertainty under matched support.|Individually plausible but jointly nonconvex quotes; incompatible expiry classes; one bad wing dictates curvature; solver warm start reaches a different solution; unchanged underlying and sparse quotes.
O05|Partial derivatives versus total scenario response|Each Greek states coordinate, held-fixed variables, volatility/time scale and model. Surface-aware total derivatives are separate from partial Black/tree Greeks. Finite scenario repricing verifies nonlinear behavior; a finite-difference numerical error bar is not economic uncertainty.|Compare analytic/automatic/numerical partials and full repricing under independently specified sticky/surface scenarios.|Charm sign under calendar versus remaining time; vanna percent factor; exercise boundary; 0DTE sharp delta change; a surface path alters both IV and forward.
